Algorithm,Mean,Std,Range,Median
rrt_var,0.076,0.023,"(0.035,0.164)",0.073
rrt_bi,0.108,0.03,"(0.037,0.245)",0.104
rrt_star,0.236,0.078,"(0.07,0.611)",0.221
rrt_reg,0.122,0.039,"(0.043,0.316)",0.118
rrt_march,0.014,0.01,"(0.002,0.067)",0.012
