Algorithm,Mean,Std,Range,Median
rrt_var,341.55,69.308,"(203,551)",338.0
rrt_bi,458.84,74.235,"(267,769)",451.0
rrt_star,508.132,95.211,"(251,831)",499.0
rrt_reg,500.956,90.126,"(274,809)",498.0
rrt_march,245.65,74.053,"(102,481)",238.5
