Algorithm,Mean,Std,Range,Median
rrt_march,158.892,58.97,"(55,351)",151.0
rrt_reg,293.74,66.247,"(173,611)",283.5
rrt_star,302.846,66.89,"(174,636)",291.5
rrt_bi,136.304,39.859,"(77,390)",126.0
rrt_var,129.502,49.536,"(39,303)",121.5
