Algorithm,Mean,Std,Range,Median
rrt_march,27.398,2.758,"(22.524,41.855)",26.877
rrt_reg,27.567,1.227,"(24.677,32.931)",27.535
rrt_star,24.735,0.721,"(23.208,27.175)",24.64
rrt_bi,27.228,1.429,"(24.575,38.531)",27.123
rrt_var,27.56,1.45,"(24.075,38.791)",27.392
