Algorithm,Mean,Std,Range,Median
rrt_march,269.308,125.473,"(41,754)",252.0
rrt_reg,1294.028,283.096,"(587,2693)",1277.0
rrt_star,1310.514,304.111,"(665,2566)",1300.0
rrt_bi,701.178,189.022,"(319,1549)",677.0
rrt_var,1849.156,411.878,"(916,3843)",1820.5
