Algorithm,Mean,Std,Range,Median
rrt_var,20.695,1.254,"(18.212,25.842)",20.548
rrt_bi,21.027,1.107,"(18.519,24.638)",20.884
rrt_star,17.605,0.479,"(16.812,19.874)",17.516
rrt_reg,20.578,1.034,"(18.234,23.904)",20.465
rrt_march,20.767,1.214,"(17.821,24.928)",20.721
