Algorithm,Mean,Std,Range,Median
rrt_var,781.544,178.831,"(423,1468)",762.5
rrt_bi,1416.168,268.759,"(660,2381)",1392.5
rrt_star,1232.862,256.973,"(598,2395)",1208.5
rrt_reg,1216.386,248.13,"(619,2312)",1194.5
rrt_march,172.708,39.767,"(88,291)",168.5
