Algorithm,Mean,Std,Range,Median
rrt_march,381.328,151.684,"(52,841)",380.0
rrt_reg,742.846,141.106,"(391,1390)",740.5
rrt_star,748.676,148.769,"(424,1337)",739.0
rrt_bi,270.118,58.932,"(81,502)",266.0
rrt_var,1078.968,202.83,"(607,2022)",1067.5
