Algorithm,Mean,Std,Range,Median
rrt_march,196.602,87.428,"(60,521)",181.0
rrt_reg,252.832,52.241,"(161,524)",242.5
rrt_star,260.472,51.429,"(162,492)",250.0
rrt_bi,124.552,26.59,"(77,261)",118.0
rrt_var,112.532,37.63,"(42,261)",108.5
