Nodes,Steps,Dist,Time
127,136,19.195009286156186,0.012020111083984375
105,128,18.976396407105188,0.009344100952148438
128,152,20.24841289030992,0.011578083038330078
97,110,17.70675945225174,0.007764101028442383
78,84,18.37435515739231,0.005964040756225586
136,168,18.187061482312178,0.013223886489868164
123,133,16.468274141805846,0.01005101203918457
121,132,16.799444154990663,0.009888172149658203
59,56,15.731165107550572,0.003812074661254883
99,120,17.899793182663615,0.008197784423828125
73,80,17.81214819290508,0.00534510612487793
75,81,17.18077545932473,0.0054171085357666016
93,98,16.718008637637816,0.007074832916259766
120,126,18.666993104081907,0.00937795639038086
84,82,19.315153398296435,0.005846977233886719
115,123,17.859117139308996,0.009039163589477539
107,116,17.52123090961455,0.008456945419311523
83,90,17.75572170369815,0.006167888641357422
88,97,16.646118375454595,0.006606101989746094
102,111,17.41113773108682,0.008136987686157227
126,128,17.802821339328226,0.009530067443847656
131,163,19.630028976670527,0.012134790420532227
109,114,16.37691839705629,0.008213996887207031
84,90,17.804979134945153,0.0060689449310302734
131,158,19.232856365712355,0.012095928192138672
71,77,16.576534656801037,0.005139827728271484
81,90,17.051649628742954,0.005860090255737305
100,114,17.102257467501982,0.008233785629272461
150,172,18.761839873758017,0.013290882110595703
122,149,19.705301291044794,0.011130094528198242
136,170,20.325503528762468,0.012862920761108398
68,66,18.421468611800858,0.004411935806274414
110,128,17.00044388726299,0.009231805801391602
113,128,19.19025856613089,0.009167671203613281
136,148,18.239758998073658,0.011402130126953125
60,68,17.387235899736133,0.0043790340423583984
77,75,16.89040679824956,0.005260944366455078
87,84,18.24267124516842,0.005835056304931641
127,146,17.61681818277335,0.01135706901550293
95,121,18.159605652181245,0.008594989776611328
138,173,20.799327041049207,0.013614892959594727
117,139,18.35181413570582,0.010514974594116211
157,195,18.674129175813395,0.015422821044921875
59,64,19.170419847882794,0.00423884391784668
117,125,18.5245127965551,0.009126901626586914
175,216,20.406983325217254,0.017641305923461914
106,108,18.84443486845562,0.008076190948486328
108,124,17.549492075322664,0.008788108825683594
124,146,19.988321365328087,0.01101231575012207
156,227,18.599377920405317,0.017476797103881836
83,101,16.61392099814272,0.006807804107666016
81,83,17.456313288416343,0.005900859832763672
118,130,17.975900669299065,0.009494781494140625
112,120,19.536478755114363,0.008831977844238281
92,98,18.071684558831056,0.0067729949951171875
176,197,16.675875767599322,0.01596999168395996
127,129,17.17147163844639,0.009686946868896484
103,119,21.78092849808771,0.00836181640625
132,158,19.657482044103407,0.011510610580444336
182,202,18.198309215900583,0.01664113998413086
70,88,19.04940067503511,0.005819797515869141
162,191,17.70635318398229,0.015046119689941406
62,61,18.912506941139135,0.003947019577026367
79,85,17.11631596368731,0.005705833435058594
149,171,17.75231851750247,0.013118267059326172
113,120,16.15832900642299,0.009068012237548828
144,179,20.515212242274437,0.013513326644897461
159,194,19.97673451047758,0.015499114990234375
125,135,21.454778170964268,0.010264873504638672
98,108,20.710879622730506,0.007519960403442383
103,114,18.409690835881182,0.008026838302612305
90,100,20.315941670941758,0.006913900375366211
131,159,17.970601502822145,0.012056112289428711
90,95,20.974080053365103,0.0066509246826171875
110,130,20.855801200665056,0.009065866470336914
112,113,17.73034334613856,0.008405923843383789
114,129,18.951667378951615,0.009303092956542969
103,113,23.218407324274565,0.008352041244506836
109,110,17.14549796445947,0.00795602798461914
58,56,16.309775692558173,0.003756999969482422
88,101,19.248555295852793,0.00693511962890625
91,121,21.890521557224105,0.008161067962646484
118,147,19.084175119426295,0.010715723037719727
89,92,17.818020448767868,0.006363868713378906
71,72,18.85371928467283,0.0048580169677734375
93,101,19.150188273571498,0.007218837738037109
58,59,20.949206275405903,0.0038750171661376953
89,88,18.53100960345302,0.006185054779052734
81,87,19.185837677566273,0.006051063537597656
120,130,18.44775517986602,0.009730100631713867
192,206,16.610304633823446,0.017585039138793945
74,80,19.675340071923287,0.005506038665771484
104,124,18.37223101096874,0.00886392593383789
81,88,18.281567415873184,0.006043195724487305
100,117,17.348361970168032,0.008275985717773438
71,86,17.92761375682903,0.005698680877685547
79,84,18.13563904359784,0.005865335464477539
144,174,19.56771061918191,0.013298988342285156
93,110,18.260665460338455,0.007811069488525391
98,118,20.809983685333012,0.008250951766967773
