Nodes,Steps,Dist,Time
965,1772,29.47989068809159,0.2830379009246826
794,1428,27.661122633681764,0.20390915870666504
696,1165,26.50558974419926,0.15286493301391602
736,1298,26.847391878235282,0.174454927444458
805,1410,26.39074308487643,0.19812989234924316
757,1328,29.774983915151555,0.1806027889251709
853,1522,28.459111268668163,0.22642016410827637
451,779,27.317955031226525,0.0754697322845459
756,1259,28.313776853310873,0.17465496063232422
1001,1774,30.530954533672112,0.2980530261993408
655,1214,28.10831150449052,0.14946579933166504
742,1254,26.46728230205292,0.1749732494354248
674,1177,26.267705299578004,0.14528298377990723
606,982,26.504965185258268,0.1185140609741211
765,1359,28.611657561037898,0.18937277793884277
715,1342,28.32661340810026,0.17363929748535156
753,1353,26.531256356123052,0.18128490447998047
783,1270,27.456502313680616,0.18040919303894043
865,1498,25.270840385836053,0.22943687438964844
683,1148,26.139717322324604,0.1476268768310547
655,1117,27.865715724772308,0.1403040885925293
864,1534,30.508730686497437,0.2320702075958252
770,1440,26.4248418553813,0.19676589965820312
861,1505,27.896371744653838,0.22240209579467773
737,1216,27.05927934953045,0.16788196563720703
821,1308,28.90276350595135,0.1960899829864502
900,1658,26.74848138652278,0.2549712657928467
820,1425,28.31578104716523,0.20396208763122559
740,1273,26.68448013459147,0.17177915573120117
675,1222,28.925307881523242,0.1568460464477539
819,1460,26.936809589660974,0.21083378791809082
864,1521,28.630743403001507,0.2315530776977539
720,1332,28.13688847758961,0.1766810417175293
897,1570,26.317903806894662,0.24409270286560059
804,1442,31.122829452476285,0.20303606986999512
981,1769,28.09560995355804,0.29386186599731445
872,1566,29.947370537569434,0.23308014869689941
747,1241,26.587415441874278,0.1683351993560791
635,1122,28.707032017808316,0.13656115531921387
1312,2520,26.556998501537887,0.5112669467926025
890,1679,24.676639893642378,0.2544100284576416
786,1428,27.551174520823327,0.19735074043273926
844,1459,28.832476727077875,0.21525907516479492
664,1093,26.58057154444575,0.13599896430969238
646,1195,28.48840545858996,0.14481401443481445
863,1480,29.093594695450033,0.22828102111816406
1094,1937,29.314822086119875,0.34569287300109863
553,889,26.80134805329537,0.10116410255432129
728,1260,27.828351695316737,0.16922903060913086
758,1332,28.737435966697355,0.17990398406982422
818,1403,28.496817900701743,0.2030949592590332
777,1390,27.572418750911183,0.19552302360534668
890,1519,28.535899694350917,0.23894500732421875
587,1025,28.531105906358338,0.11554312705993652
840,1455,26.2481440850347,0.21569108963012695
791,1381,25.772531471043543,0.19183897972106934
742,1265,24.954988932859354,0.17254400253295898
696,1172,26.967867497664916,0.15498614311218262
594,976,25.81919419167461,0.11470317840576172
766,1418,27.02805400810297,0.19056010246276855
796,1408,29.883393955810927,0.20076537132263184
844,1426,28.383982276763938,0.21129798889160156
621,1042,26.4410817593853,0.1251978874206543
802,1432,28.625714257727303,0.20339512825012207
675,1135,29.312575942093847,0.1459190845489502
785,1428,29.64975864555847,0.19565796852111816
632,1136,27.301878736396777,0.13807010650634766
791,1398,26.12671236755549,0.19626402854919434
653,1078,25.91382569042989,0.13854598999023438
576,922,26.99117638046777,0.10499715805053711
722,1304,27.845309435854304,0.1711292266845703
883,1474,27.987175114192965,0.22958612442016602
1057,2120,28.693004113642527,0.36430978775024414
568,993,28.314767070400656,0.10910797119140625
869,1502,30.729500054355878,0.23157286643981934
728,1351,28.512184346432388,0.17681002616882324
556,914,26.993901972162664,0.10344815254211426
550,858,26.668199909300174,0.09786009788513184
790,1412,28.516525128113525,0.20380306243896484
745,1280,27.592003091202887,0.1763908863067627
591,1004,26.059958995667813,0.11822104454040527
590,989,28.87539164553522,0.11672759056091309
674,1142,26.064815554726728,0.14910602569580078
708,1251,27.94588503219474,0.16465997695922852
753,1249,26.038315234598564,0.17252302169799805
785,1301,26.159666499369504,0.1797010898590088
737,1357,27.59985787425943,0.1786940097808838
705,1175,26.647986064235052,0.15093398094177246
773,1326,26.42293643011023,0.18538999557495117
542,920,27.270081099831007,0.10220217704772949
1029,1891,27.756213738616168,0.31436800956726074
692,1311,25.57506324978819,0.16826605796813965
545,870,27.52840150935295,0.09889578819274902
517,829,24.84035241660234,0.08896780014038086
622,1054,27.34871656988623,0.12910819053649902
835,1489,28.020091682107232,0.2135300636291504
767,1340,28.155895394970464,0.1855611801147461
999,1747,29.003134253214927,0.29357099533081055
885,1578,25.614661221200663,0.23932623863220215
776,1378,28.972700382490164,0.1952672004699707
939,1671,28.46555494438934,0.2614169120788574
719,1228,27.11710968015414,0.16463303565979004
772,1304,27.191230561748103,0.1862950325012207
793,1374,28.634322773789027,0.1978921890258789
587,976,26.277122020721222,0.11705398559570312
732,1227,27.363030015888906,0.1654500961303711
605,1042,27.715007849357935,0.11788511276245117
763,1313,28.662744481457988,0.18236184120178223
754,1266,25.783317561499015,0.1741950511932373
406,649,27.074955110707567,0.06011509895324707
781,1330,27.371418465315315,0.18944835662841797
502,904,27.086750704926576,0.09147381782531738
680,1270,28.975778247787243,0.15430498123168945
622,1024,28.403188800152336,0.1270127296447754
942,1729,29.250550224170343,0.2773878574371338
639,1005,28.1775952278465,0.12355875968933105
626,1072,28.243237447157558,0.13285183906555176
876,1643,28.310890544863817,0.23624777793884277
612,1019,28.561712273394644,0.12081408500671387
878,1641,32.93086298590546,0.24764513969421387
815,1440,31.16035018228053,0.20485210418701172
807,1367,27.77067653582777,0.19543814659118652
833,1590,27.740069380397397,0.22855305671691895
721,1220,26.59219279948921,0.16353082656860352
505,842,25.981324847539454,0.08924221992492676
860,1570,27.20890841981499,0.2305290699005127
535,930,28.822911334412794,0.10168910026550293
606,1050,26.4356443485511,0.12645506858825684
652,1119,25.79865715625305,0.14119601249694824
915,1654,29.63891021238509,0.2594599723815918
613,990,27.070532541517963,0.12176513671875
743,1347,27.833961697013173,0.18411684036254883
756,1303,28.95527132758387,0.18090581893920898
829,1369,26.428576092724544,0.20021510124206543
694,1198,26.15776611307854,0.15529394149780273
772,1342,26.634666326071724,0.18800830841064453
679,1098,29.0392844704039,0.14426183700561523
741,1301,27.107090924211523,0.17352008819580078
724,1247,27.52203683444887,0.17025399208068848
858,1518,26.603052934149005,0.230057954788208
498,849,26.681635448690002,0.08767294883728027
975,1735,27.398767940252963,0.280134916305542
631,1126,27.693483098760694,0.13604521751403809
620,999,25.839930107753847,0.12197017669677734
778,1363,28.242408569558084,0.1915450096130371
673,1129,27.227683336670744,0.14327287673950195
1031,1907,26.688287018266212,0.3266301155090332
620,1028,27.106748662825197,0.1376798152923584
756,1313,27.95666799867195,0.18024587631225586
717,1225,26.012577386269196,0.1696031093597412
921,1591,27.45470245116092,0.24414610862731934
766,1242,28.645166141050257,0.17235994338989258
615,1067,26.11170250459748,0.12861919403076172
560,948,25.221854595377078,0.10600614547729492
625,997,27.1710080492551,0.12446904182434082
560,962,26.848077902196117,0.10694503784179688
759,1368,29.12538572219707,0.19076991081237793
637,1083,26.288363820080708,0.13226890563964844
791,1322,28.513663548353577,0.19064593315124512
922,1646,30.67391505495009,0.25733304023742676
608,1034,25.967152324464504,0.12412691116333008
714,1207,27.915415476019653,0.1635761260986328
728,1410,27.570101714618563,0.17917799949645996
638,1060,26.369702482046613,0.13141608238220215
686,1228,27.215741987865098,0.1580653190612793
858,1514,27.342125551710684,0.2275230884552002
545,921,26.35264311996631,0.10081005096435547
887,1653,28.562546834577347,0.2498936653137207
587,960,27.21257303795796,0.11464214324951172
449,756,27.840779920761513,0.0731360912322998
625,989,28.61044841669021,0.1232759952545166
551,949,28.333560735414686,0.10713982582092285
1098,1994,26.75573665056632,0.3499782085418701
843,1457,27.839913558192027,0.21310997009277344
790,1398,28.831966931397844,0.19800806045532227
682,1116,26.63046256123298,0.14327716827392578
630,1081,26.419502100154215,0.12522411346435547
796,1382,26.43678322909769,0.19622325897216797
612,1034,26.508236375994226,0.12322306632995605
817,1472,26.80263394744853,0.2125558853149414
838,1434,29.02943113954305,0.21156001091003418
548,943,29.510169747186684,0.10319399833679199
754,1267,27.334587446036014,0.17474031448364258
878,1577,28.240768070828302,0.23570013046264648
789,1408,28.699298996118028,0.19480299949645996
810,1487,28.315972126900572,0.20647406578063965
674,1072,26.144850978876146,0.13556790351867676
860,1485,27.959942251976173,0.2228097915649414
600,1029,26.767227969447795,0.12120723724365234
577,1123,26.38453252425539,0.12528634071350098
916,1645,27.394518693054632,0.25977492332458496
844,1536,28.03169512633113,0.22337889671325684
670,1156,25.279480747740596,0.1471710205078125
700,1146,27.834725395956507,0.15090489387512207
724,1231,28.3545367879422,0.16635775566101074
873,1717,28.418681605925634,0.26263976097106934
855,1508,27.770468161492587,0.22617197036743164
795,1385,28.212423913086962,0.19259190559387207
805,1341,27.69822698679296,0.19386816024780273
805,1391,28.449104069547055,0.20258593559265137
777,1297,26.787591921618198,0.18288302421569824
839,1422,28.68468971526081,0.20935511589050293
644,1093,28.45720522700342,0.13684988021850586
896,1625,27.754367953303028,0.24860286712646484
1091,1974,29.25098653703759,0.3439908027648926
754,1288,27.173997502991543,0.17624974250793457
944,1628,27.07085641011755,0.25972986221313477
585,973,28.08463957591551,0.11072731018066406
916,1616,27.047273560172748,0.25328993797302246
847,1515,26.17561000439171,0.2227170467376709
922,1649,27.44039465458326,0.2628750801086426
539,816,26.18282336907498,0.09228301048278809
654,1139,28.651068556963025,0.1426091194152832
738,1250,28.877031487828418,0.1685481071472168
769,1357,27.754872237145776,0.18390130996704102
958,1762,27.769774916250046,0.28455018997192383
813,1369,26.760107367674664,0.19997572898864746
819,1468,27.69596539103132,0.21366238594055176
661,1056,25.304919745015347,0.13503694534301758
881,1627,29.430862536345142,0.2485499382019043
560,997,26.71801051448838,0.11247491836547852
789,1351,27.560790803632443,0.19006609916687012
534,939,26.916177076789687,0.10143518447875977
818,1481,27.95934138718648,0.21245503425598145
868,1467,27.276338155791425,0.22182607650756836
746,1303,27.640165834894447,0.17351102828979492
750,1334,28.305363996475077,0.18294882774353027
845,1471,30.13315068993556,0.21949315071105957
885,1575,28.25229940032727,0.2411050796508789
614,1092,26.037928066725918,0.13375091552734375
849,1450,28.728550999206522,0.21651291847229004
765,1277,26.591624350820336,0.1775679588317871
729,1266,24.79645113977301,0.1713120937347412
947,1640,27.62653204969038,0.26587510108947754
641,1095,28.55296330344859,0.1352839469909668
1029,1976,29.856752941592955,0.3317689895629883
815,1428,29.88787831035245,0.2059798240661621
739,1264,26.471206616961677,0.16791009902954102
731,1191,28.312824546297957,0.16159319877624512
1028,1875,28.781395501752918,0.31461215019226074
683,1262,26.88967201674586,0.15938806533813477
785,1283,26.334753663186028,0.1860651969909668
879,1478,26.76824887223016,0.22678518295288086
744,1302,29.55110977437177,0.1751570701599121
868,1573,27.68583405792966,0.24090313911437988
584,988,28.36269303432089,0.11340999603271484
709,1181,25.020006072746874,0.161484956741333
1017,1922,25.716422242420858,0.3161740303039551
928,1560,27.45567635674578,0.24802589416503906
766,1308,28.100070143767393,0.17902112007141113
934,1727,25.802672471408627,0.2684001922607422
631,1094,27.176584217794684,0.13485383987426758
805,1385,27.49358418487668,0.20174384117126465
821,1398,27.861666512522955,0.20575618743896484
746,1264,28.424642143834642,0.17109990119934082
633,1086,28.653295182597663,0.1322040557861328
775,1413,27.88556977280869,0.1967771053314209
638,1112,26.082445085090768,0.1363530158996582
676,1209,27.89650748287111,0.1533658504486084
703,1173,28.452929144761082,0.154860258102417
833,1519,25.15280855833491,0.21543216705322266
716,1258,26.150076285888918,0.16486191749572754
958,1691,27.0092888228915,0.269672155380249
688,1182,29.511913423808274,0.1517641544342041
898,1610,28.34304011494573,0.24463486671447754
948,1646,30.293107515116066,0.263962984085083
631,1041,27.10886784024449,0.12749481201171875
605,1003,28.324637330136643,0.12032008171081543
811,1499,28.344339045779567,0.21520400047302246
834,1392,27.339844948615433,0.20808005332946777
637,1022,26.986503205857066,0.12955594062805176
725,1281,27.778194565038195,0.1731712818145752
831,1563,25.045719358903636,0.22340106964111328
638,1120,26.54497901426501,0.13387489318847656
764,1308,27.640485913711686,0.18347597122192383
581,1041,26.053143892419325,0.11456012725830078
690,1190,26.337924132721756,0.15512800216674805
778,1384,27.210739898078774,0.1960921287536621
639,1085,27.10385317814744,0.13551115989685059
733,1174,26.51316887482157,0.16134095191955566
814,1497,27.42170704380342,0.21228289604187012
607,1010,27.587464027175805,0.12280607223510742
682,1140,27.431960883901805,0.14333701133728027
738,1277,27.209045937839463,0.17145204544067383
697,1224,27.92368959149356,0.156815767288208
585,1052,27.893133368638374,0.12291121482849121
1013,1847,26.834383116384142,0.317457914352417
741,1288,28.50738355716545,0.17443108558654785
793,1468,30.077206309489746,0.20595717430114746
997,1780,28.565817185330886,0.29502105712890625
698,1172,26.12865512133418,0.15498113632202148
745,1243,28.284760142294246,0.16950511932373047
848,1542,27.995527845326656,0.22699284553527832
760,1410,26.150475450960435,0.18970704078674316
721,1252,28.60769011873403,0.16727805137634277
733,1240,28.477498402768678,0.16807293891906738
531,827,26.202483288374612,0.09162783622741699
723,1270,27.893198297994186,0.16563820838928223
785,1377,29.12876625529989,0.19461393356323242
713,1193,28.772819190206306,0.16045379638671875
967,1794,26.18576777448662,0.29186201095581055
927,1689,26.877597377718256,0.26479077339172363
